ID,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm
UPL02,16.66855,0.88594496,19.44988,0.6608461,14.7093935,0.83796793,1.9727196,8.060934,24.484735,0.50928766,19.112196,0.70666534,16.347326,0.850656,-3.3946452,-5.0669885
LYO01,11.311059,1.4048516,2.6294885,5.5626717,11.428382,1.4140766,-10.188339,-1.8135141,17.845444,0.8510017,4.7707767,3.074098,14.111222,1.2932065,-16.89254,-1.1518362
SOU08,19.460827,0.61879486,15.742513,0.8649792,14.929168,0.9357897,-3.8003926,-4.917859,25.331602,0.38862452,13.826912,1.1052417,16.949324,0.929281,-11.259892,-1.6880394
BRE05,20.541416,0.670763,5.0242925,2.225603,18.382954,0.831547,-4.788057,-2.7895777,25.996197,0.47356546,4.651109,2.5313883,21.176523,0.8018126,-5.723322,-2.686768
CVL02,21.65499,0.7696825,-0.5774448,-19.640987,9.897597,1.4659449,-0.9654751,-14.125075,28.582186,0.4563741,-0.16548187,-70.843834,13.467576,1.0691587,0.65202177,22.59202
HES02,11.138322,1.2352083,5.9384856,1.9387658,10.3764305,1.2707492,3.1026769,4.5155354,17.167852,0.6466808,5.169121,2.1194248,11.486413,1.2575315,2.2088199,7.1430826
SPC04,18.421265,0.82845384,7.141552,1.9084361,24.574162,0.625551,-10.053914,-1.5690794,23.986465,0.5417674,6.567801,2.1860335,28.443933,0.5514194,-13.25654,-1.2710538
ALS09,17.13696,0.8780531,15.368782,0.97951555,13.998091,1.1164134,-10.429096,-1.5215251,23.104403,0.5270683,16.301867,0.8687398,16.472418,1.0155154,-12.399313,-1.3916696
SPC09,20.746132,0.66462547,14.731149,0.82932144,20.515501,0.7806196,12.643016,1.0377057,25.721382,0.41516992,17.861156,0.5864077,21.930622,0.8022806,13.428763,1.083919
UPS13,15.963305,1.0281471,15.514527,0.9966858,12.546363,1.2195011,6.052435,2.509082,21.5444,0.6426412,15.9786005,0.93592435,13.724088,1.2081298,5.849866,2.8781912
CVL04,18.540815,0.6899561,1.9597677,6.8757815,-2.6234272,-5.5907235,-17.265165,-0.8186142,22.054653,0.50559103,2.2093027,6.5727477,-2.295608,-6.861467,-19.744175,-0.743519
BOD07,16.605913,0.72862655,11.190718,1.2506207,-0.9414226,-16.326265,-24.107382,-0.7516023,20.466019,0.532556,9.687126,1.5216248,-2.9555395,-5.688306,-31.61778,-0.49682432
SOU12,20.290874,0.6862046,14.7055,0.9178723,15.352903,0.8904552,4.528922,3.0217438,28.708872,0.39856854,11.889967,1.2858367,18.269613,0.8878317,-2.1231234,-6.380663
ALS04,16.715185,0.87829137,4.917166,3.1388586,4.3230524,3.8540385,-8.373813,-1.4674578,20.807138,0.61026603,3.9116821,4.063332,3.8749804,4.6321263,-9.618293,-1.34074
GRE01,11.937088,1.1391598,10.356612,1.3494756,-2.998986,-6.5248547,-11.841135,-1.5439819,16.134266,0.7477986,10.117042,1.3951538,-5.843155,-3.6263406,-16.317354,-1.1489904
BRE02,22.624903,0.6779481,1.9795464,8.04884,8.191731,1.8624907,-8.860091,-1.7937645,29.06995,0.43717468,0.43382952,37.392494,8.634999,1.9418705,-13.590819,-1.179745
PES08,13.064619,1.2417665,12.991252,1.0088786,2.3316708,6.4342847,-3.6295094,-3.8590112,22.430796,0.59448844,14.045297,0.9715406,5.107744,3.412179,-5.658797,-2.9438744
LRE06,15.154876,0.78089976,-1.6485054,-9.0854225,-0.35725248,-43.343655,-6.8241262,-1.879815,17.464003,0.63431114,-3.3873568,-4.6385317,-2.6239555,-5.944279,-9.146671,-1.3734134
BFC09,15.403939,0.87129825,4.471593,2.5020382,16.795135,0.87600857,9.094456,1.5218967,22.817299,0.50225216,6.499668,1.7867237,22.220785,0.72730106,7.780236,2.1689093
LDV06,23.386412,0.55941045,5.3443837,2.8014832,4.7255197,3.034238,-8.315557,-2.1715796,29.363222,0.38001388,4.5409975,3.4301648,5.500085,2.9511912,-14.663182,-1.289492
NOR12,24.053131,0.567323,12.799342,0.99495506,7.360516,1.92134,0.40308946,39.38874,27.874344,0.39619285,13.091036,0.9341051,8.791309,1.6103542,-0.8840224,-18.723068
UPL01,15.793389,1.0581657,17.94009,0.76134354,7.9020543,1.9438951,1.7374921,7.7471604,24.377192,0.55466425,18.718355,0.7518416,7.426248,2.4096296,-1.1573126,-12.712973
NOR02,20.348797,0.5827872,3.486016,3.9100282,2.6042078,5.0414195,-19.05622,-0.7770649,23.370554,0.44870555,3.15722,4.307876,1.4241807,9.218379,-21.119596,-0.69969946
UCA08,10.923615,1.8872222,1.3989315,11.923341,10.220574,2.0781827,-3.3966649,-4.7912445,16.766628,1.1810284,0.36596835,49.01527,12.612622,1.7970359,-5.031287,-3.4900005
UPS05,14.717453,0.88627464,11.241916,1.4071311,11.158663,1.3490944,-4.1838136,-3.8922024,20.393787,0.5685935,8.677835,1.83135,11.869568,1.4359585,-9.0049715,-1.9801925
UPS06,15.000336,0.9879793,15.869981,0.98096645,4.83637,3.1941817,-6.781064,-2.497281,20.888494,0.594372,15.849969,1.0178647,3.3232236,5.2358336,-12.401318,-1.3831671
OCM08,4.867465,2.4054506,19.375143,0.7306924,16.628246,0.8939842,-9.53564,-1.5129143,7.4536176,1.5006692,18.979471,0.81000274,17.83088,0.9294018,-10.317911,-1.5840245
NOR01,18.202536,0.6613944,9.72103,1.4783722,-5.9621935,-2.6593802,-19.124132,-0.8381494,20.636614,0.5167902,9.098237,1.619086,-7.002793,-2.2897608,-21.475035,-0.7228703
LOR05,22.107807,0.6630911,10.571846,1.108833,24.260908,0.51945996,2.9802325,4.6581717,27.288343,0.4670216,10.424141,1.1568305,26.915873,0.4944278,3.2691174,4.937485
SOU05,19.144215,0.7968874,16.423367,0.5979012,14.781329,0.8453105,5.018548,2.7885063,28.88145,0.43808928,16.162512,0.73365366,17.826328,0.8633335,-1.0151663,-15.53972
