ID,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,equivalentSoundLevel_dBp,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
UPS13,0.95478874,0.9029449,0.17420262,0.8028166,1.5907254,1.4165227,17.66897,10.478795,15.749138,10.964958,-22.558523,2.9106145,2.0899694,0.32927805,0.3040454,0.15323624,0.19453007
CVL04,0.7218864,0.76711416,0.23736526,0.5838612,1.1327966,0.8954314,13.050851,8.399023,9.592902,6.6756682,-27.324453,2.9941483,1.6826786,0.43608108,0.4355955,0.16036,0.20072739
BOD07,0.4933763,0.8689898,0.13559034,0.3949114,0.7383826,0.60279226,8.649426,6.347129,6.598494,5.3458557,-32.0652,2.463416,1.9499238,0.33768114,0.32380688,0.17228757,0.2223023
SOU12,0.48730308,0.9194094,0.109214544,0.34950802,0.7986981,0.6894836,10.734936,6.7138214,9.744367,6.3280945,-29.490583,3.345225,2.5681524,0.21070616,0.17350914,0.17017198,0.2554241
ALS04,0.87585574,0.7219757,0.29093218,0.75841737,1.35938,1.0684478,14.502996,8.838842,13.010824,8.093076,-25.24705,3.6294117,1.9182112,0.3854601,0.32901075,0.12789655,0.17165738
GRE01,1.6701328,0.76563567,0.4007014,1.421116,2.8018606,2.4011593,32.96404,20.154413,26.327366,15.482885,-17.009146,4.141243,2.4306145,0.27927905,0.29748034,0.1281132,0.15803438
BRE02,0.6900506,0.83500475,0.16004938,0.54708123,1.1654178,1.0053685,15.383832,9.61319,12.400671,7.967161,-26.87887,3.5881095,2.028587,0.31655827,0.27517778,0.17102101,0.2787544
PES08,1.2250015,0.995681,0.24410102,0.8776198,1.9011,1.656999,29.5946,21.167665,24.68705,18.8291,-18.161625,2.5865922,2.3750978,0.23465882,0.21038662,0.1858201,0.3246456
LRE06,1.2800719,0.8664666,0.40301323,0.99088293,1.8964024,1.4933891,27.22156,24.39541,18.17,17.812971,-20.9043,1.7414752,2.6130936,0.28513977,0.38558662,0.095407605,0.10989788
BFC09,1.0085008,0.88544655,0.21128237,0.7505952,1.7154769,1.5041945,20.884855,12.99609,21.158943,14.818437,-22.741882,3.5955057,2.6243327,0.20286937,0.19847026,0.16465168,0.20921294
LDV06,0.73633546,0.99849975,0.1159475,0.46892548,1.3044863,1.1885388,18.864511,11.627936,17.62689,11.046177,-23.783281,3.5142858,2.6350386,0.22531454,0.20358324,0.14454761,0.21315448
