ID,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,hammarbergIndexUV_sma3nz_amean
ALS08,0.050305393,2.0598562,1.1973116,0.90781707,7.4626527,0.77993035,25.831673,0.38337713,11.694491
BFC03,0.037677225,2.0254922,1.0761453,0.89218223,8.649924,0.596297,21.364017,0.44834995,8.364446
BOD05,0.04707614,2.0870018,1.3892527,0.8014756,5.555519,0.8739543,21.234512,0.4224694,11.044132
BFC05,0.029191427,1.4949191,1.313402,0.7151991,5.416437,0.78305876,17.300526,0.47492433,7.9271455
BOD02,0.039353132,1.8498756,1.1481504,0.7941381,6.9918523,0.75261605,17.73552,0.46339408,11.186287
SPC06,0.036038894,2.067631,1.1368166,0.8405027,7.808284,0.60192245,18.167347,0.5036538,13.417228
LDV09,0.05181167,1.8084741,1.3477336,0.79462844,3.6940536,1.2667377,29.41869,0.3156971,16.121857
PES02,0.054430276,1.792776,1.7660666,0.76017654,2.7163885,1.6728559,27.216228,0.3401071,10.245368
ALS07,0.03906523,2.102614,1.0854722,0.9501479,8.976728,0.5737225,27.779554,0.3405112,11.6347885
ALS10,0.04138226,2.2158186,1.1948838,0.8551217,7.9529676,0.6847322,23.010931,0.38028678,12.19433
CFE09,0.04801782,1.8690594,1.3619648,0.5763075,5.6207333,0.9016953,27.384771,0.29935676,19.322006
BOD01,0.038200237,1.9675155,1.2532035,0.73588806,6.9850864,0.68235207,19.814602,0.38806355,15.848335
UCA04,0.048682477,1.5860283,1.3904625,0.68028706,5.360055,1.0415903,19.340534,0.61960375,7.0087714
PES01,0.03984899,1.7150291,1.1852496,0.7955197,6.593954,0.87958646,20.457712,0.5623478,8.726027
BOD08,0.03683027,2.1184402,1.0858471,0.8357967,8.262765,0.6823042,19.915813,0.43589216,11.83989
BRE07,0.030636482,2.494705,0.97764146,0.9396165,10.210515,0.58449787,27.81885,0.36877543,12.91687
LOR09,0.037996642,1.9329337,1.1784126,0.7462367,6.857857,0.8727051,21.009993,0.40895084,10.253673
HES08,0.04718698,1.6892066,1.62155,0.67706305,1.985004,2.111237,15.410605,0.47601378,7.872765
UCA07,0.037734974,1.6894709,1.1677564,0.7591588,7.0209537,0.71786153,22.620789,0.44745484,7.222288
HES06,0.054360405,1.7051024,1.4225518,0.7252614,5.4409757,0.9745534,22.426346,0.42188928,9.121409
LRE03,0.039491612,1.86635,1.4335432,0.5954422,2.0171187,2.1486473,13.471148,0.50805414,12.951794
UCA11,0.063125245,1.570711,1.515572,0.674792,3.0757203,1.7428203,21.636208,0.72908473,9.298123
BOD14,0.048245046,2.0020485,1.480554,0.8010548,4.7502384,0.9566698,20.745007,0.34892228,11.227691
HES04,0.031235378,1.8350413,1.4411079,0.6398928,4.1882715,1.075921,15.464726,0.44384626,6.9887414
SOU03,0.039185833,2.0485399,1.3303457,0.8998524,7.1431837,0.5899611,30.514372,0.24687758,34.502853
BOD16,0.050480008,1.7830312,1.651974,0.7139919,2.3412867,1.7442994,16.54958,0.4188416,14.658744
