ID,Segment,WC,WPS,BigWords,emopos,emoneg,anxiete,colère,tristesse,cognition,perspicacite,cause,divergence,tentative,certitude,inhibition,inclusion,exclusion,perception,remplisseur
BRE11,1,447,15.96,23.27,5.15,0.89,0,0.22,0,21.48,3.36,3.8,1.57,1.57,3.13,1.12,10.07,4.03,1.57,0
ALS10,1,599,16.19,21.54,3.34,0.5,0.17,0.17,0,15.53,2.84,2.67,1.5,0.67,0.83,0.5,10.68,3.01,2.17,0
ALS05,1,551,21.19,24.5,2.9,0.18,0.18,0,0,17.97,1.63,2.36,0.73,2.36,1.27,1.09,10.34,3.09,2.54,0
LOR01,1,562,16.06,23.31,2.14,0.71,0,0.18,0.36,20.11,0.89,4.09,1.25,2.67,1.6,0.89,9.96,2.85,1.6,0
UPS14,1,586,18.9,16.55,4.61,0.85,0,0.17,0.51,20.99,2.22,4.61,2.56,2.56,1.02,1.02,11.77,3.58,4.1,0
UCA02,1,625,125,5.12,1.28,0.48,0,0,0,5.44,1.12,0.96,0.32,0.96,0.48,0,4.16,0.8,1.28,0
POF01,1,463,20.13,28.51,3.67,0.22,0,0,0,22.25,1.73,5.83,1.73,0.86,3.02,0.86,11.02,2.81,1.73,0
LYO06,1,529,17.06,23.63,1.51,0.95,0,0.76,0,18.9,3.78,3.78,1.32,3.4,1.13,0.95,9.45,2.08,2.84,0
OCM03,1,556,16.85,21.94,3.42,0,0,0,0.18,18.17,3.78,3.42,1.8,1.8,1.8,1.08,9.17,2.88,2.52,0
OCM06,1,550,13.75,25.09,3.27,2.36,0,0.55,0.73,22.18,3.64,3.64,1.09,1.64,2.36,0.18,12,2.18,2,0
BOD15,1,626,14.9,23.96,3.19,0.8,0,0,0.16,23.96,3.99,4.47,2.72,2.08,2.08,0.48,9.58,4.63,1.44,0
ALS02,1,637,18.74,21.04,4.71,1.26,0,0.31,0.31,22.61,1.57,2.98,1.88,2.35,1.57,2.2,11.93,4.08,3.3,0
SPC03,1,447,18.63,25.95,2.01,2.46,1.34,0.22,0.45,25.28,2.68,3.36,1.79,2.68,2.91,1.34,12.53,2.91,0.45,0
CFE10,1,445,445,24.49,3.82,1.12,0,0,0.45,17.3,2.92,0.9,0.67,0.9,2.25,1.57,8.76,2.02,2.7,0
OCM19,1,566,18.87,24.73,3.36,1.41,0.35,0.71,0.35,19.79,2.3,2.47,1.94,2.47,2.12,0.35,10.95,2.83,1.94,0
LOR03,1,552,15.77,22.46,3.8,1.27,0.18,0.18,0.36,25.18,4.17,6.7,2.36,2.17,4.53,0.91,9.24,4.17,1.45,0
OCM07,1,577,18.03,27.38,4.85,2.6,0.17,1.04,0,20.62,2.77,4.16,1.73,1.56,3.12,1.21,10.92,3.12,1.21,0
LYO08,1,536,15.76,22.95,3.54,0.56,0.56,0.19,0,18.47,2.43,2.8,1.12,2.05,1.49,0.75,11.01,2.05,1.49,0
LYO02,1,530,17.67,21.32,3.58,0.75,0.19,0.19,0.19,27.55,4.91,4.34,2.26,2.64,3.4,0.75,13.02,3.58,1.51,0
OCM10,1,477,18.35,25.16,3.14,1.26,0,0,0,18.87,2.1,2.31,1.05,1.47,2.52,0.84,11.53,1.89,2.1,0
BOD08,1,457,11.72,23.41,3.06,1.31,0,0.44,0,13.79,2.41,1.75,0.88,0.66,0.88,1.09,10.5,1.75,2.19,0
UCA10,1,290,19.33,32.76,4.14,0,0,0,0,16.9,5.17,0.34,5.17,4.83,1.03,0,6.9,8.97,0,0
UCA05,1,610,122,2.13,0,17.21,0,0,17.21,0.33,0,0.16,0,0.16,0,0,0.16,0,0,0
GRE12,1,570,15,26.14,2.11,1.75,0,0.18,0,16.14,3.16,3.86,1.23,1.4,2.28,1.05,9.3,0.53,1.93,0
SOU08,1,582,18.19,22.85,2.75,0.34,0,0.17,0.17,17.18,2.75,2.06,1.37,1.89,1.2,0.34,11.17,2.92,0.86,0
UPS04,1,451,12.89,31.26,2,2,0.22,1.11,0.22,24.39,4.21,3.55,2.22,2,2.22,1.11,12.2,1.33,1.77,0
NOR02,1,473,15.77,26.22,3.17,0.21,0,0,0,19.66,4.02,2.75,1.9,2.75,2.54,0.21,9.09,3.38,1.48,0
NOR07,1,438,24.33,31.05,6.16,0.91,0.23,0.23,0.23,21.46,2.05,3.42,1.6,1.6,2.74,0.68,11.87,2.97,1.83,0
UPS09,1,491,12.59,19.96,4.07,1.02,0.2,0.41,0,18.53,2.44,1.83,1.63,3.05,2.65,0.2,9.37,3.87,1.02,0
SOU15,1,559,29.42,22.36,2.5,0.36,0.18,0,0,20.57,4.11,2.5,1.07,2.15,1.43,0.36,11.81,2.15,5.55,0
LRE01,1,538,18.55,23.98,3.16,1.3,0.19,0.19,0.74,18.59,1.49,1.86,1.67,1.12,0.37,0.74,14.68,3.16,1.49,0
HES01,1,453,32.36,19.65,1.77,1.32,0.66,0.44,0.44,17.88,0,4.19,1.99,1.32,1.32,0.22,13.47,3.53,2.21,0
NOR08,1,432,12.34,27.31,4.63,0.93,0,0,0.46,21.06,2.78,4.63,1.85,3.01,1.85,0,10.42,2.78,2.08,0
LYO07,1,519,173,23.89,5.2,0.19,0,0,0.19,21.19,3.66,4.24,1.73,1.93,3.08,0.19,10.21,3.28,5.01,0
LDV04,1,609,20.3,23.81,3.94,3.45,0.49,2.3,0.33,18.06,1.48,2.13,1.64,1.97,2.79,0.99,12.32,1.64,3.28,0
BFC05,1,519,17.9,25.05,4.05,0.58,0.19,0,0.58,22.93,5.59,2.7,0.77,2.12,2.7,0.19,10.79,2.5,3.08,0
BRE12,1,374,17.81,24.33,0.8,1.87,0.8,1.07,0.27,4.55,0.27,0.8,0,0,1.34,0,1.07,2.14,0.27,0
NOR05,1,477,14.91,23.69,2.52,1.26,0,0.21,0.21,13.84,1.68,3.98,1.05,1.26,1.89,1.47,10.69,1.47,1.89,0
OCM08,1,454,17.46,23.13,2.64,0.88,0,0.22,0.22,17.4,2.42,3.08,2.64,1.1,2.2,0.88,10.13,3.3,1.1,0
LDV07,1,533,15.68,24.02,3.75,1.13,0,0.38,0.56,20.08,1.5,2.81,0.94,1.88,2.44,0.56,11.82,1.5,2.06,0
OCM14,1,552,15.33,19.57,5.07,1.63,0,0.54,1.09,23.73,3.8,1.99,1.45,3.62,3.08,0.36,10.69,5.25,2.72,0
BFC04,1,513,16.55,22.81,2.92,0.78,0.19,0,0.39,20.86,1.95,2.73,2.34,2.53,2.53,1.17,11.11,3.9,2.73,0
BFC06,1,561,21.58,27.99,4.28,0.18,0,0,0.18,17.65,1.78,3.21,0.89,1.6,1.96,0.53,9.98,2.5,1.43,0
SOU12,1,480,12.97,24.58,2.71,1.25,0.42,0,0.63,17.29,2.29,1.25,1.04,2.5,1.46,0,10.83,2.92,2.08,0
SOU07,1,568,13.21,22.01,1.58,0.88,0.53,0,0.18,20.6,3.7,3.52,2.64,3.17,1.94,0.53,9.15,3.52,2.99,0
UPS05,1,478,14.48,24.48,2.3,0.21,0,0,0.42,19.67,1.67,4.6,1.88,2.51,1.26,0.42,10.46,3.35,1.46,0
PES11,1,500,18.52,21.6,2,2.8,0.2,0,0,16.8,2.8,1,0.8,2.6,2,0.8,11.8,1.8,2.8,0
SOU06,1,597,17.56,24.62,3.85,1.17,0,0.17,0.5,21.11,2.18,3.85,1.68,1.68,1.51,0.5,12.4,2.85,3.69,0
SOU13,1,569,18.35,19.51,3.51,0.53,0.18,0,0,20.91,2.81,4.92,3.69,3.34,1.76,0.88,8.96,5.45,2.28,0
OCM16,1,563,18.16,16.16,4.62,1.24,0.36,0.36,0,22.91,3.91,2.13,3.2,1.78,4.8,1.07,9.06,4.62,2.66,0
ANT02,1,551,11.98,21.23,3.27,1.45,0.36,0,0.36,18.69,2.72,1.81,2.54,2,2.9,0.73,9.07,3.27,1.81,0
LDV08,1,513,18.32,22.03,4.29,1.36,0,0.39,0.39,20.27,2.14,2.73,2.34,2.14,2.92,0.39,11.7,3.51,2.92,0
PES09,1,556,17.94,23.56,2.7,0.9,0.18,0,0.36,16.37,1.62,2.34,1.08,1.08,1.08,0.72,10.07,1.62,1.8,0
CVL03,1,459,15.83,27.45,1.74,2.83,0.87,0.65,0.65,16.56,1.74,1.96,0.87,2.61,1.96,0.65,9.37,1.53,1.09,0
NOR06,1,534,11.87,19.85,1.87,1.5,0,0.19,0.56,16.67,1.69,2.62,1.87,1.31,1.12,0.19,10.3,2.25,3.75,0
LOR04,1,530,20.38,21.32,2.26,2.08,0.19,0.38,0.19,20.19,2.83,2.26,2.64,2.45,2.08,1.13,10.57,3.58,2.26,0
CVL02,1,571,17.84,22.59,2.1,1.93,0.35,0.88,0.18,22.24,3.5,4.38,1.58,2.1,2.98,0.35,10.16,2.45,3.15,0
POF04,1,570,17.27,26.67,2.46,0.35,0,0.18,0.18,16.49,2.11,2.46,2.28,1.93,2.28,0.53,8.95,2.81,1.93,0
BFC02,1,566,14.89,24.03,2.83,1.59,0,0.18,0.53,23.5,6.01,6.01,1.94,2.65,1.77,1.06,10.07,4.95,1.41,0
POF05,1,464,19.33,29.74,2.59,0.43,0,0,0.43,19.61,3.66,2.8,2.59,1.72,1.29,0.22,9.7,2.37,1.29,0
UPS12,1,519,16.22,26.2,3.08,1.54,0.39,0.19,0.39,17.53,3.47,2.7,1.54,1.93,1.35,2.12,8.29,2.7,1.54,0
BRE09,1,458,13.47,30.57,3.71,0.87,0.22,0,0,19.43,3.28,3.71,1.75,2.62,1.09,0,9.17,4.15,2.18,0
